DISTRITO_ACCIDENTE,COLISIÓN DOBLE                          ,COLISIÓN MÚLTIPLE                       ,CHOQUE CON OBJETO FIJO                  ,ATROPELLO                               ,VUELCO                                  ,CAÍDA MOTOCICLETA                       ,CAÍDA CICLOMOTOR                        ,CAÍDA BICICLETA                         ,CAÍDA VIAJERO BUS                       ,OTRAS CAUSAS                            ,AÑO
ARGANZUELA                    ,389,54,126,75,9.0,43,9.0,4.0,5.0,8.0,2009
BARAJAS                       ,89,6,53,21,,12,2.0,1.0,2.0,2.0,2009
CARABANCHEL                   ,375,44,171,137,8.0,36,13.0,6.0,9.0,8.0,2009
CENTRO                        ,514,55,171,143,,61,12.0,3.0,10.0,12.0,2009
CHAMARTIN                     ,494,70,133,92,10.0,72,22.0,2.0,6.0,7.0,2009
CHAMBERI                      ,414,35,87,87,3.0,51,12.0,4.0,4.0,5.0,2009
CIUDAD LINEAL                 ,398,64,124,101,3.0,57,17.0,5.0,4.0,4.0,2009
FUENCARRAL-EL PARDO           ,321,47,151,78,11.0,34,16.0,7.0,2.0,8.0,2009
HORTALEZA                     ,215,16,109,58,3.0,29,13.0,7.0,4.0,4.0,2009
LATINA                        ,298,40,134,85,7.0,24,10.0,2.0,9.0,11.0,2009
MONCLOA-ARAVACA               ,340,57,210,71,11.0,48,8.0,7.0,1.0,13.0,2009
MORATALAZ                     ,151,26,59,40,,23,3.0,2.0,3.0,4.0,2009
PUENTE DE VALLECAS            ,367,54,196,122,8.0,22,14.0,2.0,5.0,11.0,2009
RETIRO                        ,369,59,74,51,4.0,48,10.0,8.0,6.0,6.0,2009
SALAMANCA                     ,535,56,122,104,3.0,107,31.0,,5.0,2.0,2009
SAN BLAS                      ,301,29,88,66,3.0,20,10.0,3.0,2.0,5.0,2009
TETUAN                        ,338,23,115,101,1.0,42,15.0,5.0,7.0,8.0,2009
USERA                         ,214,24,96,53,1.0,13,2.0,1.0,4.0,3.0,2009
VICALVARO                     ,86,6,39,15,6.0,9,4.0,3.0,2.0,2.0,2009
VILLA DE VALLECAS             ,142,6,67,36,3.0,8,4.0,1.0,2.0,3.0,2009
VILLAVERDE                    ,148,19,65,46,4.0,9,4.0,3.0,1.0,8.0,2009
ARGANZUELA                    ,403,48,103,75,7.0,26,15.0,2.0,5.0,6.0,2010
BARAJAS                       ,62,5,34,22,1.0,11,,,,,2010
CARABANCHEL                   ,357,35,133,114,7.0,22,14.0,6.0,7.0,1.0,2010
CENTRO                        ,546,43,142,169,2.0,60,14.0,9.0,13.0,9.0,2010
CHAMARTIN                     ,460,67,128,85,11.0,77,16.0,1.0,8.0,5.0,2010
CHAMBERI                      ,361,34,86,103,1.0,66,14.0,5.0,2.0,4.0,2010
CIUDAD LINEAL                 ,404,79,120,90,8.0,39,12.0,6.0,7.0,2.0,2010
FUENCARRAL-EL PARDO           ,294,49,165,72,10.0,26,9.0,6.0,3.0,2.0,2010
HORTALEZA                     ,183,15,68,44,4.0,11,8.0,4.0,3.0,3.0,2010
LATINA                        ,273,37,93,94,6.0,24,4.0,7.0,10.0,4.0,2010
MONCLOA-ARAVACA               ,350,47,177,75,10.0,45,9.0,6.0,9.0,11.0,2010
MORATALAZ                     ,127,21,58,33,6.0,13,5.0,2.0,2.0,1.0,2010
PUENTE DE VALLECAS            ,324,44,157,107,7.0,20,9.0,3.0,8.0,7.0,2010
RETIRO                        ,349,55,33,57,2.0,45,12.0,7.0,7.0,5.0,2010
SALAMANCA                     ,506,44,131,89,6.0,89,19.0,1.0,9.0,6.0,2010
SAN BLAS                      ,274,27,62,66,2.0,22,6.0,2.0,5.0,2.0,2010
TETUAN                        ,331,25,87,89,3.0,47,13.0,6.0,4.0,3.0,2010
USERA                         ,178,36,78,78,4.0,14,2.0,4.0,,4.0,2010
VICALVARO                     ,65,4,60,22,3.0,16,,1.0,1.0,5.0,2010
VILLA DE VALLECAS             ,124,9,63,32,8.0,9,3.0,1.0,,3.0,2010
VILLAVERDE                    ,147,21,58,54,2.0,9,4.0,2.0,2.0,1.0,2010
ARGANZUELA                    ,373,48,102,61,3.0,45,14.0,5.0,3.0,,2011
BARAJAS                       ,78,3,44,30,3.0,9,3.0,,1.0,,2011
CARABANCHEL                   ,381,48,125,103,3.0,36,8.0,10.0,8.0,4.0,2011
CENTRO                        ,528,48,173,149,4.0,77,13.0,6.0,3.0,6.0,2011
CHAMARTIN                     ,514,72,122,73,5.0,76,8.0,7.0,5.0,6.0,2011
CHAMBERI                      ,414,24,72,102,,68,15.0,6.0,7.0,4.0,2011
CIUDAD LINEAL                 ,371,68,150,112,8.0,54,11.0,5.0,6.0,2.0,2011
FUENCARRAL-EL PARDO           ,312,42,128,89,12.0,30,9.0,16.0,1.0,4.0,2011
HORTALEZA                     ,189,18,91,43,3.0,28,12.0,3.0,2.0,2.0,2011
LATINA                        ,285,35,114,88,1.0,20,8.0,4.0,9.0,3.0,2011
MONCLOA-ARAVACA               ,290,58,171,66,9.0,54,5.0,23.0,4.0,3.0,2011
MORATALAZ                     ,137,16,52,34,5.0,12,6.0,2.0,2.0,3.0,2011
PUENTE DE VALLECAS            ,344,54,182,116,4.0,30,14.0,3.0,1.0,4.0,2011
RETIRO                        ,367,73,71,68,3.0,50,9.0,6.0,6.0,5.0,2011
SALAMANCA                     ,528,69,132,97,1.0,82,17.0,5.0,3.0,6.0,2011
SAN BLAS                      ,285,25,74,71,2.0,32,8.0,5.0,2.0,1.0,2011
TETUAN                        ,321,23,76,87,,60,15.0,4.0,2.0,1.0,2011
USERA                         ,179,25,67,75,3.0,14,1.0,,4.0,1.0,2011
VICALVARO                     ,73,9,43,22,2.0,10,1.0,1.0,2.0,4.0,2011
VILLA DE VALLECAS             ,129,8,44,34,4.0,11,3.0,2.0,1.0,1.0,2011
VILLAVERDE                    ,140,10,75,46,1.0,5,5.0,1.0,3.0,2.0,2011
ARGANZUELA                    ,376,49,77,66,5.0,42,10.0,2.0,3.0,1.0,2012
BARAJAS                       ,82,5,36,19,2.0,7,3.0,2.0,,3.0,2012
CARABANCHEL                   ,350,46,153,118,1.0,28,8.0,6.0,6.0,2.0,2012
CENTRO                        ,491,42,135,125,2.0,81,20.0,10.0,2.0,9.0,2012
CHAMARTIN                     ,464,62,119,82,5.0,75,16.0,4.0,10.0,4.0,2012
CHAMBERI                      ,418,34,80,95,,71,7.0,,3.0,3.0,2012
CIUDAD LINEAL                 ,391,52,122,72,7.0,41,11.0,6.0,3.0,6.0,2012
FUENCARRAL-EL PARDO           ,317,49,141,78,18.0,36,11.0,11.0,4.0,5.0,2012
HORTALEZA                     ,170,19,80,54,2.0,20,10.0,6.0,4.0,2.0,2012
LATINA                        ,248,33,100,107,3.0,27,8.0,12.0,5.0,5.0,2012
MONCLOA-ARAVACA               ,292,65,154,56,8.0,65,7.0,24.0,4.0,3.0,2012
MORATALAZ                     ,134,37,58,29,6.0,18,2.0,2.0,,,2012
PUENTE DE VALLECAS            ,340,48,151,116,5.0,28,11.0,4.0,4.0,6.0,2012
RETIRO                        ,370,65,64,54,1.0,48,13.0,3.0,6.0,2.0,2012
SALAMANCA                     ,633,60,131,90,6.0,83,10.0,4.0,7.0,9.0,2012
SAN BLAS                      ,265,45,74,65,1.0,19,10.0,12.0,1.0,2.0,2012
TETUAN                        ,324,26,69,96,4.0,40,12.0,3.0,2.0,1.0,2012
USERA                         ,182,23,81,63,1.0,10,5.0,4.0,5.0,4.0,2012
VICALVARO                     ,64,5,43,24,10.0,5,5.0,,,1.0,2012
VILLA DE VALLECAS             ,119,6,44,35,3.0,17,6.0,4.0,,4.0,2012
VILLAVERDE                    ,140,13,62,52,2.0,13,2.0,7.0,,2.0,2012
ARGANZUELA                    ,360,50,79,63,2.0,54,6.0,7.0,6.0,4.0,2013
BARAJAS                       ,70,4,30,28,1.0,10,4.0,1.0,2.0,,2013
CARABANCHEL                   ,366,40,143,98,3.0,31,8.0,12.0,5.0,3.0,2013
CENTRO                        ,482,33,159,138,1.0,80,9.0,12.0,10.0,2.0,2013
CHAMARTIN                     ,451,82,121,86,4.0,84,5.0,2.0,5.0,4.0,2013
CHAMBERI                      ,414,30,67,91,1.0,87,9.0,7.0,4.0,5.0,2013
CIUDAD LINEAL                 ,396,52,128,75,3.0,72,10.0,6.0,4.0,4.0,2013
FUENCARRAL-EL PARDO           ,335,42,159,72,9.0,39,7.0,13.0,2.0,4.0,2013
HORTALEZA                     ,171,18,77,51,3.0,33,8.0,10.0,1.0,2.0,2013
LATINA                        ,248,29,110,95,4.0,24,4.0,4.0,5.0,7.0,2013
MONCLOA-ARAVACA               ,300,65,168,59,12.0,68,4.0,13.0,9.0,4.0,2013
MORATALAZ                     ,132,14,39,53,7.0,23,5.0,5.0,1.0,3.0,2013
PUENTE DE VALLECAS            ,334,37,125,94,5.0,35,8.0,8.0,4.0,1.0,2013
RETIRO                        ,364,59,50,50,1.0,46,7.0,11.0,2.0,3.0,2013
SALAMANCA                     ,570,70,133,89,2.0,90,9.0,8.0,6.0,5.0,2013
SAN BLAS                      ,286,16,84,72,1.0,35,8.0,13.0,2.0,1.0,2013
TETUAN                        ,314,35,69,84,,68,15.0,3.0,4.0,2.0,2013
USERA                         ,204,28,70,59,2.0,13,5.0,1.0,3.0,2.0,2013
VICALVARO                     ,73,4,47,25,4.0,11,3.0,2.0,,3.0,2013
VILLA DE VALLECAS             ,124,4,59,40,2.0,15,2.0,1.0,1.0,2.0,2013
VILLAVERDE                    ,163,11,58,64,,9,1.0,1.0,,,2013
ARGANZUELA                    ,335,54,78,59,,60,4.0,15.0,7.0,4.0,2014
BARAJAS                       ,76,1,37,20,2.0,5,2.0,2.0,,1.0,2014
CARABANCHEL                   ,351,53,115,118,2.0,42,11.0,11.0,9.0,2.0,2014
CENTRO                        ,458,48,154,137,2.0,90,12.0,21.0,8.0,9.0,2014
CHAMARTIN                     ,455,56,125,72,13.0,82,10.0,9.0,7.0,9.0,2014
CHAMBERI                      ,399,29,69,91,,87,11.0,4.0,4.0,3.0,2014
CIUDAD LINEAL                 ,380,56,138,82,13.0,60,12.0,7.0,2.0,7.0,2014
FUENCARRAL-EL PARDO           ,295,37,134,87,16.0,43,3.0,22.0,5.0,2.0,2014
HORTALEZA                     ,188,17,89,60,4.0,26,9.0,12.0,2.0,3.0,2014
LATINA                        ,257,27,135,88,5.0,36,7.0,14.0,8.0,6.0,2014
MONCLOA-ARAVACA               ,304,50,178,49,7.0,49,8.0,25.0,3.0,4.0,2014
MORATALAZ                     ,130,27,52,40,4.0,21,6.0,4.0,2.0,5.0,2014
PUENTE DE VALLECAS            ,351,49,122,105,4.0,39,10.0,13.0,6.0,7.0,2014
RETIRO                        ,350,70,54,62,3.0,56,6.0,13.0,4.0,3.0,2014
SALAMANCA                     ,547,71,128,89,1.0,110,12.0,11.0,7.0,5.0,2014
SAN BLAS                      ,298,25,79,62,6.0,40,6.0,20.0,5.0,2.0,2014
TETUAN                        ,333,29,87,91,1.0,81,9.0,6.0,6.0,2.0,2014
USERA                         ,196,34,79,68,2.0,18,2.0,9.0,1.0,,2014
VICALVARO                     ,72,5,41,17,1.0,15,2.0,4.0,,1.0,2014
VILLA DE VALLECAS             ,136,10,49,44,5.0,13,5.0,7.0,1.0,2.0,2014
VILLAVERDE                    ,145,21,54,42,3.0,14,3.0,3.0,2.0,1.0,2014
ARGANZUELA                    ,340,60,66,58,2.0,39,6.0,15.0,7.0,7.0,2015
BARAJAS                       ,77,2,44,24,4.0,18,5.0,7.0,3.0,1.0,2015
CARABANCHEL                   ,367,36,136,120,1.0,42,5.0,11.0,4.0,3.0,2015
CENTRO                        ,474,41,121,124,2.0,109,12.0,37.0,3.0,6.0,2015
CHAMARTIN                     ,504,66,109,91,4.0,96,15.0,12.0,1.0,6.0,2015
CHAMBERI                      ,386,34,62,78,,71,11.0,10.0,3.0,2.0,2015
CIUDAD LINEAL                 ,387,47,111,118,5.0,69,10.0,7.0,4.0,3.0,2015
FUENCARRAL-EL PARDO           ,324,31,132,70,3.0,44,12.0,17.0,4.0,2.0,2015
HORTALEZA                     ,221,21,74,59,3.0,40,6.0,13.0,2.0,1.0,2015
LATINA                        ,289,37,107,90,3.0,31,3.0,9.0,10.0,4.0,2015
MONCLOA-ARAVACA               ,287,64,149,55,8.0,68,7.0,22.0,3.0,1.0,2015
MORATALAZ                     ,132,25,40,34,1.0,22,9.0,4.0,2.0,3.0,2015
PUENTE DE VALLECAS            ,365,50,130,133,5.0,39,7.0,10.0,8.0,4.0,2015
RETIRO                        ,332,60,58,59,1.0,54,8.0,22.0,5.0,2.0,2015
SALAMANCA                     ,447,66,117,82,4.0,96,10.0,13.0,11.0,3.0,2015
SAN BLAS                      ,283,24,69,65,3.0,27,9.0,7.0,4.0,4.0,2015
TETUAN                        ,355,21,71,87,1.0,67,19.0,6.0,3.0,6.0,2015
USERA                         ,199,27,67,65,3.0,15,3.0,3.0,5.0,,2015
VICALVARO                     ,77,7,28,17,3.0,13,1.0,4.0,,1.0,2015
VILLA DE VALLECAS             ,129,5,52,39,2.0,16,4.0,6.0,,2.0,2015
VILLAVERDE                    ,146,12,61,57,2.0,7,4.0,4.0,3.0,2.0,2015
ARGANZUELA                    ,328,62,86,57,1.0,46,12.0,10.0,6.0,2.0,2016
BARAJAS                       ,95,6,50,34,4.0,12,2.0,4.0,2.0,4.0,2016
CARABANCHEL                   ,346,55,121,106,5.0,53,18.0,7.0,8.0,6.0,2016
CENTRO                        ,444,23,172,144,,97,11.0,33.0,5.0,3.0,2016
CHAMARTIN                     ,499,59,122,80,5.0,105,14.0,8.0,5.0,7.0,2016
CHAMBERI                      ,382,26,53,88,,63,10.0,19.0,1.0,5.0,2016
CIUDAD LINEAL                 ,411,57,119,85,4.0,75,15.0,8.0,5.0,8.0,2016
FUENCARRAL-EL PARDO           ,345,30,132,70,6.0,56,18.0,28.0,3.0,4.0,2016
HORTALEZA                     ,248,19,90,56,5.0,33,9.0,10.0,1.0,1.0,2016
LATINA                        ,288,40,119,104,3.0,36,12.0,11.0,7.0,2.0,2016
MONCLOA-ARAVACA               ,294,61,182,54,12.0,68,8.0,27.0,2.0,1.0,2016
MORATALAZ                     ,150,31,53,32,5.0,23,5.0,2.0,4.0,2.0,2016
PUENTE DE VALLECAS            ,386,81,140,118,8.0,41,11.0,11.0,10.0,5.0,2016
RETIRO                        ,344,69,63,56,1.0,67,9.0,33.0,1.0,3.0,2016
SALAMANCA                     ,467,65,111,112,1.0,142,14.0,22.0,14.0,3.0,2016
SAN BLAS                      ,299,20,57,68,3.0,34,6.0,9.0,5.0,,2016
TETUAN                        ,330,43,70,91,,73,25.0,13.0,5.0,3.0,2016
USERA                         ,206,27,74,75,2.0,16,2.0,5.0,4.0,1.0,2016
VICALVARO                     ,70,4,38,22,4.0,15,2.0,3.0,2.0,1.0,2016
VILLA DE VALLECAS             ,149,7,42,54,5.0,26,4.0,4.0,1.0,3.0,2016
VILLAVERDE                    ,177,11,71,54,1.0,8,5.0,6.0,2.0,1.0,2016
